Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Threshold: 1; Measurements per block: 50

Number of blocks: 1
Number of cycles: 48310360; error? 1
Number of cycles: 48310077; error? 1
Number of cycles: 48310198; error? 1
Number of cycles: 48310200; error? 1
Number of cycles: 48310608; error? 1
Number of cycles: 48310583; error? 1
Number of cycles: 48310159; error? 1
Number of cycles: 48310108; error? 1
Number of cycles: 48310493; error? 1
Number of cycles: 48310107; error? 1
Number of cycles: 48310266; error? 1
Number of cycles: 48310055; error? 1
Number of cycles: 48310108; error? 1
Number of cycles: 48310644; error? 1
Number of cycles: 48310328; error? 1
Number of cycles: 48310238; error? 1
Number of cycles: 48310292; error? 1
Number of cycles: 48310440; error? 1
Number of cycles: 48310066; error? 1
Number of cycles: 48310390; error? 1
Number of cycles: 48310895; error? 1
Number of cycles: 48310063; error? 1
Number of cycles: 48309892; error? 1
Number of cycles: 48310006; error? 1
